Airport,City,IATA,ICAO,Country,Lat,Long,Alt
Campbeltown Airport,Campbeltown,CAL,EGEC,United Kingdom,55.4372,-5.68639,42
Carlisle,Carlisle,CAX,EGNC,United Kingdom,54.9375,-2.809167,190
Cambridge,Cambridge,CBG,EGSC,United Kingdom,52.205,0.175,47
Salvaza,Carcassonne,CCF,LFMK,France,43.215978,2.306317,433
Charles De Gaulle,Paris,CDG,LFPG,France,49.012779,2.55,392
Cherepovets Airport,Cherepovets,CEE,ULBC,Russia,59.2736,38.0158,377
Hawarden,Hawarden,CEG,EGNR,United Kingdom,53.178056,-2.977778,45
Chernigov,Chernigov,CEJ,UKRR,Ukraine,51.24,31.09,446
Mandelieu,Cannes,CEQ,LFMD,France,43.54205,6.953478,13
Maupertus,Cherbourg,CER,LFRC,France,49.650106,-1.470281,459
Le Pontreau,Cholet,CET,LFOU,France,47.082136,-0.877064,443
Auvergne,Clermont-Ferrand,CFE,LFLC,France,45.786661,3.169169,1090
Donegal Airport,Dongloe,CFN,EIDL,Ireland,55.044192,-8.341,30
Carpiquet,Caen,CFR,LFRK,France,49.173333,-0.45,256
Ioannis Kapodistrias Intl,Kerkyra/corfu,CFU,LGKR,Greece,39.601944,19.911667,6
Koln Bonn,Cologne,CGN,EDDK,Germany,50.865917,7.142744,302
Souda,Chania,CHQ,LGSA,Greece,35.531747,24.149678,490
Deols,Chateauroux,CHR,LFLX,France,46.862194,1.730667,529
Ciampino,Rome,CIA,LIRA,Italy,41.799361,12.594936,427
Aeroclub Cioca,Timisoara,CIO,LRT2,Romania,45.471009,21.111967,280
Comiso,Comiso,CIY,LICB,Italy,37,14.6144,756
Cherkassy,Cherkassy,CKC,UKKE,Ukraine,49.416666,32.1333,114
Chkalovsky Airport,Shchyolkovo,CKL,UUMU,Russia,55.878333,38.061667,152
Canakkale Airport,Canakkale,CKZ,LTBH,Turkey,40.137722,26.426777,23
Cluj Napoca,Cluj-napoca,CLJ,LRCL,Romania,46.785167,23.686167,1036
Saint Catherine,Calvi,CLY,LFKC,France,42.530753,8.793189,209
Aix Les Bains,Chambery,CMF,LFLB,France,45.63805,5.880225,779
Houssen,Colmar,CMR,LFGA,France,48.109853,7.359011,628
Mihail Kogalniceanu,Constanta,CND,LRCK,Romania,44.362222,28.488333,353
Chateaubernard,Cognac,CNG,LFBG,France,45.658333,-0.3175,102
Sindal Airport,Sindal,CNL,EKSN,Denmark,57.503525,10.229372,92
Kastrup,Copenhagen,CPH,EKCH,Denmark,55.617917,12.655972,17
Calais Dunkerque,Calais,CQF,LFAC,France,50.962097,1.954764,12
Ciudad Real Central Airport,Ciudad Real,CQM,LERL,Spain,38.856389,-3.97,636
Craiova,Craiova,CRA,LRCV,Romania,44.318139,23.888611,626
Brussels South,Charleroi,CRL,EBCI,Belgium,50.459197,4.453817,614
Crotone,Crotone,CRV,LIBC,Italy,38.997225,17.080169,521
Colonsay Airport,Colonsay,CSA,EGEY,United Kingdom,56.0575,-6.243056,44
Caransebes,Caransebes,CSB,LRCS,Romania,45.42,22.253333,866
Creil,Creil,CSF,LFPC,France,49.253547,2.519139,291
Solovki Airport,Solovetsky Islands,CSH,ULAS,Russia,65.03,35.7333,0
Magdeburg-Cochstedt,Cochstedt,CSO,EDBC,Germany,51.855833,11.418333,596
Cheboksary Airport,Cheboksary,CSY,UWKS,Russia,56.0903,47.3473,558
Catania Fontanarossa,Catania,CTA,LICC,Italy,37.466781,15.0664,39
Le Castellet,Le Castellet,CTT,LFMQ,France,43.252506,5.785189,1391
Levaldigi,Cuneo,CUF,LIMZ,Italy,44.547019,7.623217,1267
Courchevel Airport,Courcheval,CVF,LFLJ,France,45.3967,6.63472,6588
Coventry,Coventry,CVT,EGBE,United Kingdom,52.369722,-1.479722,267
Chernivtsi International Airport,Chernovtsk,CWC,UKLN,Ukraine,48.259322,25.980831,826
Cardiff,Cardiff,CWL,EGFF,United Kingdom,51.396667,-3.343333,220
RUDNIKI,RUDNIKI,CZW,EPRU,Poland,50.884722,19.202222,262
Dubrovnik,Dubrovnik,DBV,LDDU,Croatia,42.561353,18.268244,527
Decimomannu,Decimomannu,DCI,LIED,Italy,39.354222,8.972481,100
Mazamet,Castres,DCM,LFCK,France,43.55625,2.289183,788
Debrecen,Debrecen,DEB,LHDC,Hungary,47.488917,21.615333,359
De Kooy,De Kooy,DHR,EHKD,Netherlands,52.923353,4.780625,3
Longvic,Dijon,DIJ,LFSD,France,47.26889,5.09,726
Diyarbakir,Diyabakir,DIY,LTCC,Turkey,37.893897,40.201019,2251
Tavaux,Dole,DLE,LFGJ,France,47.039014,5.42725,645
Dalaman,Dalaman,DLM,LTBS,Turkey,36.713056,28.7925,20
Domododevo,Moscow,DME,UUDD,Russia,55.408611,37.906111,588
